Pre-1,Pre-2,Pre-3,Pre-4,Pre-5,Pre-6,Pre-7,Pre-8,Pre-9,Pre-10,Pre-11,Pre-12,Pre-13,Pre-14,Pre-15,Pre-16,Pre-17,Pre-18,Pre-19,Pre-20,Pre-21,Pre-22,Pre-23,Pre-24,Pre-25,Pre-26,Pre-27,Pre-28,Pre-29,Pre-30,Post-1,Post-2,Post-3,Post-4,Post-5,Post-6,Post-7,Post-8,Post-9,Post-10,Post-11,Post-12,Post-13,Post-14,Post-15,Post-16,Post-17,Post-18,Post-19,Post-20,Post-21,Post-22,Post-23,Post-24,Post-25,Post-26,Post-27,Post-28,Post-29,Post-30
D,E,D,A,D,B,D,B,E,C,B,B,B,A,C,A,A,C,E,D,E,D,D,D,B,B,B,D,A,E,D,A,B,E,D,A,A,B,C,C,C,B,D,A,A,A,A,B,E,A,E,B,C,C,B,A,C,E,B,E
E,D,B,A,C,B,B,E,E,D,B,B,B,A,C,E,A,E,A,C,D,D,D,C,D,A,B,D,D,E,C,B,C,E,B,C,B,D,D,A,B,B,C,A,A,A,A,C,E,C,C,B,D,A,D,D,B,C,A,E
B,C,B,A,E,A,A,D,E,D,C,C,B,D,C,A,A,E,D,A,B,A,E,B,C,B,A,D,A,B,B,D,A,A,C,C,A,D,B,A,C,B,B,D,B,A,D,E,D,C,D,D,D,B,C,A,A,D,B,E
C,E,C,E,D,B,B,B,C,A,C,B,C,D,A,A,A,E,E,D,E,B,B,A,D,B,C,E,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A,C,A,C,A,D,A,C,D,B,B,C,B,D,A,E,E,E,C,D,D,A,A,C,B,A,D,A,D,D,B,C,A,D,A,A,D,C,D,C,B,C,B,C,A,D,D,E,C,D,B,D,C,E,A,A,D,B,E
E,A,B,E,B,B,A,E,B,A,B,B,B,A,C,D,A,C,E,C,C,D,E,D,A,B,C,D,A,E,B,A,C,E,C,B,B,B,E,C,C,B,C,A,A,A,A,B,E,A,A,C,D,C,B,B,C,E,B,B
C,A,B,A,C,B,A,A,C,C,B,C,D,A,B,C,B,B,C,C,D,B,D,E,B,E,C,D,A,B,C,A,B,E,C,C,A,B,A,D,C,B,B,A,A,A,D,E,D,C,A,A,D,C,A,E,B,E,B,B
A,A,E,A,E,B,B,A,B,A,C,C,C,B,C,A,A,E,E,C,E,D,C,C,B,A,A,D,D,E,A,B,A,A,A,B,B,A,C,A,C,D,C,B,A,A,A,D,E,C,B,D,C,A,D,A,A,D,B,C
C,A,C,A,C,B,A,A,C,D,C,B,C,B,A,A,D,E,A,D,B,A,A,C,C,A,C,D,B,E,C,B,C,A,B,B,B,B,C,A,D,B,B,A,C,C,A,B,D,D,E,A,D,D,E,A,A,D,B,E
C,B,B,A,C,B,B,A,B,A,B,C,C,A,C,D,A,C,D,C,D,A,D,A,A,B,C,B,A,E,C,A,A,A,C,B,B,B,A,A,C,B,C,A,C,C,A,E,B,A,D,A,E,A,E,B,A,D,A,E
C,D,C,A,B,B,B,A,E,A,C,B,D,B,C,A,A,D,C,C,E,B,B,A,D,A,A,D,D,C,C,B,C,A,D,B,B,A,E,A,C,B,D,D,C,A,A,D,D,C,E,D,B,A,D,B,A,D,D,C
D,E,A,A,E,D,D,B,E,A,D,C,C,D,C,A,A,E,E,D,E,D,C,A,D,B,A,D,D,E,C,C,A,A,E,B,B,E,E,A,C,C,C,C,C,A,D,E,E,D,C,B,B,A,D,B,C,D,B,B
B,D,E,A,C,B,D,B,C,D,A,C,C,A,B,A,C,E,E,C,D,B,A,A,D,B,C,E,A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,B,B,A,C,B,A,B,C,A,C,B,C,B,A,A,A,D,E,C,C,A,A,A,D,A,C,D,B,E,A,D,C,E,D,B,B,B,E,C,C,B,A,B,A,A,A,B,E,D,C,B,A,C,D,A,C,E,B,E
