Pre-1,Pre-2,Pre-3,Pre-4,Pre-5,Pre-6,Pre-7,Pre-8,Pre-9,Pre-10,Pre-11,Pre-12,Pre-13,Pre-14,Pre-15,Pre-16,Pre-17,Pre-18,Pre-19,Pre-20,Pre-21,Pre-22,Pre-23,Pre-24,Pre-25,Pre-26,Pre-27,Pre-28,Pre-29,Pre-30,Post-1,Post-2,Post-3,Post-4,Post-5,Post-6,Post-7,Post-8,Post-9,Post-10,Post-11,Post-12,Post-13,Post-14,Post-15,Post-16,Post-17,Post-18,Post-19,Post-20,Post-21,Post-22,Post-23,Post-24,Post-25,Post-26,Post-27,Post-28,Post-29,Post-30
A,D,B,D,C,A,D,A,B,E,C,C,B,D,B,A,A,E,E,C,A,A,D,C,E,A,B,D,A,E,C,B,B,A,C,A,D,B,C,D,C,C,C,C,A,A,A,D,E,A,A,E,D,E,C,A,B,D,B,E
B,D,C,D,D,B,B,E,E,C,B,B,B,D,D,E,E,B,D,C,D,D,B,C,E,A,A,D,B,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,E,E,A,B,D,A,A,B,E,B,C,C,A,B,D,A,E,A,C,D,C,B,E,E,A,C,D,C,E,C,A,B,A,C,B,C,A,A,A,D,C,D,A,B,D,B,B,B,C,D,A,B,C,C,A,B,B,B,B
C,B,E,A,D,B,B,D,C,E,B,D,C,B,B,C,E,D,D,C,B,B,A,A,C,C,B,D,C,D,C,B,C,A,C,D,A,B,B,A,D,E,D,C,C,A,C,D,C,B,C,D,A,C,C,D,B,E,C,B
D,D,B,A,A,B,E,D,E,D,B,B,B,A,C,C,A,C,E,C,C,B,A,A,C,B,A,B,A,D,D,C,C,E,A,B,C,E,D,A,B,B,B,A,B,C,A,E,B,C,E,D,A,A,B,A,A,C,D,
C,A,A,A,D,C,D,E,D,A,C,C,C,A,C,C,A,D,E,D,E,D,D,A,D,A,C,D,B,E,C,A,A,E,D,A,A,D,E,A,C,B,A,A,C,A,A,D,E,D,E,A,D,C,D,B,B,E,B,E
B,B,A,A,D,B,B,B,C,A,C,B,C,D,B,A,D,D,A,A,E,B,B,A,B,A,C,D,B,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,D,A,A,B,B,B,E,D,D,C,C,C,D,C,C,A,D,E,D,D,A,B,E,D,A,A,D,B,E,C,D,A,E,B,B,B,B,E,A,D,C,C,D,A,A,A,B,E,D,D,D,B,A,D,D,A,E,B,C
D,D,B,A,E,B,A,B,C,D,C,B,B,A,C,C,A,D,D,C,D,B,D,C,D,A,B,D,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,D,C,A,C,B,A,B,A,A,B,C,C,D,B,B,D,E,A,D,C,D,D,A,D,B,C,C,D,E,D,D,C,E,C,B,B,B,E,A,D,C,C,C,A,A,D,D,D,D,C,B,B,A,D,A,C,E,B,E
A,E,C,A,D,B,B,A,B,D,C,B,B,A,B,C,A,A,E,C,A,D,D,A,C,A,A,D,B,E,D,B,C,A,D,B,B,A,B,C,C,B,C,A,A,C,A,D,A,C,B,B,C,A,D,A,A,D,B,E
D,E,E,A,B,B,C,E,B,A,C,B,B,A,C,A,A,E,A,C,D,D,C,A,E,A,A,D,D,E,D,E,C,A,D,B,C,B,C,A,B,B,C,A,A,C,A,D,E,C,C,B,B,A,E,A,C,D,B,E
A,C,E,A,C,B,B,A,B,A,C,B,A,B,C,C,A,E,E,A,C,A,A,C,E,A,C,D,B,E,D,B,C,B,D,B,B,A,B,E,C,C,D,B,C,A,A,D,E,A,B,D,C,C,E,A,C,D,B,B
C,B,C,A,B,B,B,A,B,D,C,B,D,A,C,A,D,C,E,C,D,D,A,A,D,B,C,D,A,E,C,B,B,A,D,B,B,E,B,E,D,B,C,D,A,A,D,D,E,C,D,B,D,A,E,B,A,E,B,E
B,D,B,A,E,A,C,B,B,D,C,B,B,A,C,A,A,D,E,A,B,D,C,A,D,D,C,D,B,E,C,D,D,A,E,A,B,B,E,A,C,B,C,A,C,A,A,D,E,A,B,D,C,A,D,B,C,D,B,E
B,A,C,A,C,A,C,E,B,D,B,B,C,B,C,C,A,C,A,A,B,B,B,E,C,B,C,D,B,B,D,B,C,A,C,B,D,D,C,E,C,C,B,A,B,B,C,E,D,A,D,E,E,C,B,A,C,C,B,E
C,B,A,A,B,B,B,B,C,A,D,B,D,A,C,A,B,B,C,D,E,B,B,A,C,A,C,D,B,C,C,A,C,A,B,B,B,B,A,A,D,B,D,B,C,A,A,B,C,D,C,A,C,A,D,B,D,E,B,E
C,D,C,E,D,B,B,B,E,A,D,B,D,D,A,A,A,E,E,D,E,B,B,A,D,B,C,E,B,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,E,E,A,D,B,A,A,B,D,C,E,B,A,C,A,A,E,D,A,A,D,D,C,E,B,A,C,D,B,B,C,B,A,C,D,B,C,A,A,C,C,B,A,C,A,B,D,D,C,A,D,D,C,C,A,B,C,B,E
D,E,A,A,E,A,B,B,C,A,A,B,C,A,B,C,C,D,E,C,C,E,D,E,C,B,C,D,A,E,C,C,E,A,B,A,C,B,D,A,B,C,D,A,C,A,D,B,D,C,D,B,D,C,E,A,E,B,A,D
B,C,C,A,A,B,A,B,C,A,A,B,C,A,C,A,A,C,A,D,C,A,A,A,A,A,B,D,B,E,A,A,C,E,D,B,A,B,E,A,C,B,C,A,D,A,B,B,E,D,D,D,C,A,C,A,A,E,B,E
D,B,E,A,C,A,B,A,B,D,B,B,C,A,D,A,D,D,D,C,E,B,E,A,C,A,B,D,A,E,D,B,C,A,E,A,B,D,C,A,D,C,B,A,B,A,D,D,D,A,C,B,E,A,C,A,B,D,B,E
B,D,D,E,C,B,B,D,C,A,C,B,C,A,A,A,A,D,E,C,E,D,C,A,C,B,A,D,B,E,B,B,C,E,D,A,B,E,C,A,C,C,B,A,B,A,A,D,D,D,A,C,A,B,A,A,E,E,B,E
C,D,C,A,D,B,B,B,C,A,A,C,D,D,A,A,D,E,E,D,C,D,B,A,D,A,C,D,B,E,C,A,C,E,E,B,B,E,B,A,D,C,D,C,A,A,D,B,E,D,C,A,B,A,D,B,C,E,B,E
D,D,C,A,E,B,D,E,E,D,C,C,B,C,C,C,D,E,E,D,E,D,D,A,E,D,C,D,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A,A,A,C,B,B,A,B,C,C,B,C,A,C,A,D,D,E,B,B,A,A,A,D,A,A,B,B,E,C,D,C,A,C,B,B,A,E,E,C,B,C,A,C,C,A,B,D,D,B,A,C,E,D,A,A,B,B,E
A,D,C,A,C,A,A,A,B,A,D,E,D,B,A,A,A,D,E,C,A,A,A,A,D,A,A,D,B,E,C,B,C,E,B,A,A,D,B,A,C,C,B,B,C,A,A,B,D,A,D,A,C,A,D,A,A,E,B,E
A,D,A,A,C,B,B,A,B,E,C,B,C,A,C,A,D,E,E,C,E,B,E,E,E,B,A,D,D,E,C,B,A,E,C,B,C,A,B,A,C,B,C,A,A,A,D,D,E,C,E,B,C,E,D,A,A,E,D,E
B,B,E,A,C,A,D,A,E,D,C,B,B,A,C,A,D,E,D,A,B,A,A,A,B,C,A,B,A,E,B,B,E,A,C,B,A,A,E,D,C,B,C,D,C,A,A,D,D,C,B,D,A,A,C,A,A,D,B,E
C,B,B,A,C,B,E,A,D,D,B,D,B,D,C,A,C,D,D,C,B,B,A,B,C,A,A,B,A,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,C,C,A,C,B,B,A,C,C,C,B,C,A,B,A,A,E,A,C,C,E,D,C,E,B,B,D,B,E,B,A,C,E,D,B,B,A,E,E,C,C,A,A,A,A,A,B,A,D,E,E,C,A,D,A,C,E,B,E
B,D,C,E,D,A,B,D,D,C,C,C,C,A,B,A,A,E,E,A,E,C,D,C,D,A,C,D,B,E,C,A,C,E,D,B,B,B,C,A,C,C,D,A,C,C,A,B,E,C,B,A,C,C,D,B,A,E,B,B
A,D,E,A,D,B,E,D,A,E,C,B,C,A,B,E,A,D,E,A,A,B,C,E,B,C,C,B,A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,E,B,A,B,B,A,A,B,E,B,C,C,A,C,A,A,C,E,C,D,A,E,C,B,A,C,D,B,E,D,D,C,E,C,A,B,D,C,A,C,B,C,A,C,A,A,B,E,C,E,A,A,C,E,A,C,D,B,E
C,D,C,A,E,B,B,B,E,A,B,B,C,D,D,D,D,E,E,D,E,B,B,A,D,D,C,B,D,E,C,A,C,A,C,B,B,B,E,B,D,B,C,D,D,E,A,D,E,D,E,B,B,A,D,B,C,E,B,E
A,B,C,E,C,B,D,D,D,B,C,B,C,A,A,A,A,E,A,C,C,B,C,B,E,B,C,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,C,A,C,B,E,A,A,D,B,B,B,A,A,B,E,C,E,C,D,C,C,C,B,C,C,D,B,E,B,B,C,A,D,B,B,B,E,A,C,B,B,A,C,A,D,B,D,C,C,B,D,C,A,A,C,D,B,B
B,A,A,A,C,B,D,B,E,D,B,C,C,D,C,C,A,E,E,A,D,A,E,A,E,A,C,D,B,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,D,A,A,C,B,C,B,C,A,A,B,C,A,A,A,A,B,C,D,E,B,D,D,D,A,C,D,C,E,C,D,A,C,A,B,C,B,B,D,C,B,C,B,A,A,E,E,A,B,B,B,C,D,D,A,B,D,B,E
A,B,A,A,C,A,E,D,E,D,B,C,A,C,B,C,A,D,D,A,D,B,D,C,C,B,C,D,B,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,E,C,A,C,B,D,B,B,D,B,C,B,A,C,C,A,E,A,C,A,D,A,E,B,A,C,D,B,E,A,B,C,A,B,B,B,B,C,D,C,B,C,A,C,C,A,C,A,C,D,D,B,E,B,B,B,D,D,E
D,D,A,A,C,B,B,E,E,A,B,B,C,B,C,C,D,D,E,D,C,A,C,A,D,B,A,D,A,E,A,B,C,E,D,B,B,B,E,A,C,B,C,D,A,A,D,D,E,D,C,B,B,A,D,B,C,E,B,C
D,B,B,A,C,C,B,A,B,D,D,D,B,A,C,C,A,E,A,C,E,D,D,A,E,A,A,D,A,E,C,A,B,A,D,B,B,A,B,A,C,B,C,B,C,E,A,D,A,D,A,B,D,A,B,A,A,C,D,B
C,D,B,A,C,B,A,B,D,E,D,B,B,D,C,A,A,D,E,D,C,D,B,A,D,B,C,D,D,E,C,D,E,A,D,B,D,E,C,A,C,C,C,D,C,C,A,E,E,D,E,A,A,A,D,D,C,D,D,E
B,B,C,A,A,BE,B,A,B,E,B,B,C,A,C,A,A,D,A,C,E,A,B,C,E,A,A,D,B,E,B,B,C,A,D,B,B,A,B,A,B,B,B,A,C,A,B,B,B,C,D,B,C,A,C,A,A,D,B,E
A,B,A,A,D,A,A,E,D,A,C,B,C,A,C,A,A,E,E,C,A,A,C,D,A,D,D,D,C,E,C,A,A,E,B,B,B,B,E,A,D,B,D,A,A,A,A,B,E,D,C,A,B,A,E,A,B,E,B,C
B,D,A,A,C,B,B,A,B,E,B,C,B,A,C,D,A,D,D,C,C,A,C,D,E,B,A,D,A,E,D,D,A,A,A,B,B,B,E,A,D,C,B,A,B,A,A,B,D,B,C,A,A,A,C,A,A,D,B,C
C,D,A,A,C,B,B,D,B,E,C,B,C,A,A,A,A,C,A,C,E,A,A,C,A,B,C,E,D,E,C,B,A,E,D,B,B,D,E,D,C,C,D,A,B,A,A,E,A,D,C,D,B,A,B,B,C,,,
A,B,E,A,D,D,C,D,B,D,C,D,B,A,B,B,A,B,D,C,E,A,C,D,A,A,A,B,D,C,C,B,B,A,A,B,A,E,C,A,C,C,B,A,B,A,A,E,D,C,D,A,B,B,C,A,A,B,B,E
C,A,E,A,C,B,B,A,B,A,C,B,C,C,C,B,A,C,E,C,C,A,B,A,B,A,C,D,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,A,A,A,D,B,A,A,A,A,B,C,B,B,C,C,B,C,E,A,A,A,C,A,B,C,A,D,A,E,D,A,B,A,D,B,A,A,B,A,D,C,B,B,B,C,B,E,D,A,A,A,D,A,B,B,A,D,B,B
E,E,B,A,E,B,E,A,B,D,C,C,B,A,B,A,A,E,E,D,C,D,D,E,D,B,A,B,A,B,C,D,B,A,C,B,B,A,B,E,C,C,C,A,C,C,A,E,E,D,D,C,C,C,B,B,C,D,D,E
D,D,B,A,E,A,B,B,E,A,C,B,C,B,B,C,A,C,E,C,D,A,E,C,B,B,C,D,B,E,C,B,C,A,D,A,B,B,C,C,C,B,C,A,C,A,A,D,A,A,C,B,E,C,A,A,B,D,B,E
B,D,A,A,C,A,E,A,B,D,B,C,C,A,C,C,D,E,A,C,C,B,C,C,D,A,C,B,A,E,D,A,C,E,E,B,C,A,B,A,B,B,D,A,A,A,D,D,E,C,C,B,B,B,C,B,A,E,B,E
D,D,C,A,E,A,B,A,B,D,B,D,C,A,C,C,D,E,E,C,D,B,D,E,D,B,C,D,A,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,D,B,A,C,B,B,D,C,D,B,C,B,C,C,A,B,E,A,C,D,D,B,A,B,A,A,D,B,E,B,A,C,E,B,B,B,B,C,D,C,B,C,A,C,A,A,B,E,D,E,B,B,A,C,B,A,D,B,E
D,B,B,A,E,A,B,A,C,E,B,B,C,D,C,A,E,D,D,C,B,E,D,A,C,B,A,D,A,B,D,B,B,A,E,A,E,B,D,E,B,C,C,A,C,E,B,B,D,A,D,D,A,A,C,B,B,D,B,A
B,D,B,A,C,A,B,D,B,D,C,C,B,A,C,D,A,E,D,C,D,D,C,C,B,A,A,D,B,E,D,B,A,B,D,B,B,D,E,B,C,D,C,A,C,A,A,E,D,A,C,B,C,A,B,B,C,D,B,E
A,B,B,A,C,B,A,E,D,D,C,B,B,A,B,C,A,E,D,C,D,E,E,C,D,B,A,D,D,E,C,D,B,A,E,B,E,A,C,D,C,C,A,A,B,D,A,D,C,A,E,D,C,E,A,A,A,B,D,E
A,E,B,A,A,A,B,D,E,D,B,C,B,A,D,D,A,D,D,C,B,C,B,C,D,A,A,D,A,E,A,A,C,A,C,B,B,A,A,C,B,C,C,A,D,C,A,D,D,C,C,B,B,C,B,A,A,A,B,E
A,D,A,E,A,B,B,A,E,C,B,B,C,B,C,A,A,E,E,D,C,B,C,A,D,A,A,D,B,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,A,B,A,B,A,B,A,C,C,D,C,B,D,C,A,A,E,E,D,C,B,B,C,D,D,A,D,A,E,A,B,B,E,D,B,B,A,C,A,C,C,B,D,B,A,A,D,E,D,D,E,C,C,B,D,A,E,B,E
C,A,B,A,C,B,A,A,B,E,B,D,B,A,A,C,A,C,D,C,B,D,C,A,B,B,A,D,A,B,D,B,B,A,E,B,B,A,B,A,C,C,C,B,C,C,A,C,A,D,B,A,C,A,D,A,D,D,B,B
C,D,A,A,C,A,D,A,B,D,B,B,B,A,C,E,A,B,C,A,D,B,D,A,D,B,A,C,A,B,C,A,E,A,A,B,C,D,E,C,D,B,C,A,C,A,E,D,C,A,B,B,D,C,D,D,A,B,A,B
C,D,C,A,C,B,A,A,B,C,B,D,C,A,C,A,A,E,E,B,D,A,D,D,D,B,A,D,A,E,C,A,C,E,B,C,A,A,B,A,D,B,D,A,A,A,A,B,E,D,C,B,C,C,D,B,C,E,B,B
B,C,A,A,B,A,E,B,B,D,C,D,B,A,B,C,A,E,D,A,A,D,C,C,D,B,C,D,E,E,C,D,A,E,C,C,B,A,B,A,C,C,B,A,C,A,A,E,D,C,A,D,D,A,C,B,B,D,B,B
B,B,A,A,B,B,C,B,B,A,A,B,D,A,C,A,A,B,E,E,C,D,B,A,D,D,C,D,A,C,C,A,C,E,B,B,C,B,E,A,D,B,D,D,C,A,A,B,E,D,C,D,B,A,C,A,D,E,B,A
A,B,C,A,D,A,D,A,C,E,B,B,C,B,A,D,A,C,D,C,E,B,D,B,A,C,B,D,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A,E,A,D,A,A,A,B,D,B,C,C,A,D,D,A,C,E,B,C,B,B,E,D,A,A,D,D,E,B,A,C,E,C,B,B,A,C,D,C,C,A,A,A,A,A,B,E,C,D,B,D,A,D,A,B,E,B,B
C,D,E,A,C,B,C,D,D,D,B,B,B,B,D,C,D,E,E,C,D,D,B,A,E,E,C,C,E,E,A,B,A,A,E,B,B,B,E,A,C,C,B,B,B,C,A,D,D,A,C,D,C,A,B,D,D,D,B,E
C,C,A,E,E,B,B,E,E,D,C,C,C,D,C,A,A,B,E,D,E,B,C,D,D,D,C,D,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,D,A,A,D,A,A,B,E,C,B,B,C,B,C,C,A,C,E,D,C,A,D,C,D,B,C,B,A,E,C,A,C,E,B,A,B,B,E,A,C,B,C,D,A,A,A,B,E,D,C,A,D,A,D,A,C,E,B,E
C,B,B,A,C,A,A,A,E,D,B,B,C,D,A,C,A,C,D,B,E,E,C,C,B,B,B,D,A,E,D,A,E,C,D,A,E,A,D,A,C,C,C,B,B,C,A,D,D,C,B,B,C,E,B,A,B,D,B,E
A,B,A,A,E,B,A,E,C,D,B,B,C,D,C,A,A,C,E,C,E,D,B,A,D,A,C,D,B,E,A,B,A,E,E,C,B,E,C,E,A,B,C,D,A,A,A,B,E,C,E,D,B,A,D,A,C,E,B,E
C,D,A,A,C,A,B,A,B,E,B,B,C,A,B,C,D,D,D,A,D,B,E,E,D,B,C,D,D,D,C,D,A,E,C,B,B,B,E,C,D,B,C,A,C,A,A,D,D,C,E,D,E,C,D,B,C,D,B,E
C,D,E,A,D,B,B,A,B,C,A,C,B,A,C,C,E,D,E,C,B,A,C,C,E,A,A,C,A,E,C,B,B,A,B,A,B,A,B,A,D,C,C,B,A,C,E,D,E,A,C,A,B,A,B,B,A,D,B,E
D,C,B,E,D,A,D,E,E,A,B,C,C,B,D,C,A,C,E,C,C,A,D,C,D,B,C,C,A,E,B,A,A,E,D,B,D,A,B,A,C,C,C,B,A,C,A,C,C,D,B,A,D,C,C,A,C,E,B,E
C,B,A,A,D,B,B,B,C,D,B,B,C,A,C,C,A,E,E,D,B,D,C,A,E,A,C,D,B,E,C,B,A,A,D,B,B,A,E,D,C,B,C,A,C,C,A,B,E,D,E,D,D,A,A,A,A,D,B,E
A,B,E,A,B,A,C,A,E,C,B,C,C,A,D,C,D,C,E,C,E,D,C,A,B,D,A,B,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,D,A,A,C,B,B,E,E,D,B,C,B,D,D,D,A,C,A,C,A,B,D,C,B,C,C,D,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,E,C,A,A,C,D,E,E,D,C,B,B,A,C,C,D,E,A,D,A,D,C,C,E,D,C,B,B,E,C,D,C,A,E,C,D,B,E,D,C,B,C,C,C,A,D,E,D,D,C,D,C,A,D,B,B,C,B,E
C,C,C,A,D,B,B,A,B,A,C,A,B,A,A,A,A,C,E,D,B,A,C,A,D,B,C,E,B,E,C,A,C,E,B,B,B,B,E,A,D,C,C,A,A,A,A,D,E,D,C,A,A,A,C,B,C,E,B,E
D,A,C,A,C,B,B,D,E,E,B,D,B,D,C,C,A,C,A,C,D,B,C,A,D,D,B,D,E,E,C,A,A,E,E,B,B,E,E,D,C,B,C,D,A,A,A,E,E,C,E,E,D,D,D,D,B,E,B,E
